Product_Name,Size,Milk,Whip,Serving_Size_ml,Calories,Total_Fat_g,Saturated_Fat_g,Trans_Fat_g,Cholesterol_mg,Sodium_mg,Carbohydrates_g,Dietary_Fiber_g,Sugar_g,Protein_g,Vitamin_A_%DV,Vitamin_C_%DV,Calcium_%DV,Iron_%DV,Caffiene_milligrams
Brewed Coffee - Dark Roast,Short,No Milk,No Whip,236,3,0.1,0,0,0,5,0,0,0,0.3,0,0,0,0,130
Brewed Coffee - Dark Roast,Tall,No Milk,No Whip,354,4,0.1,0,0,0,10,0,0,zero,0.5,0,0,0,0,193
Brewed Coffee - Dark Roast,Grande,No Milk,No Whip,473,5,0.1,0,0,0,10,0,0,0,1,0,0,0,0,260
Brewed Coffee - Dark Roast,Venti®,No Milk,No Whip,591,5,0.1,0,0,0,10,0,0,0,1,0,0,2,0,340
Brewed Coffee Traveler - Dark Roast,1 - 236 mL serving,No Milk,No Whip,236,3,0.1,0,0,0,5,0,0,0,0.3,0,0,0,0,130
Brewed Coffee - Decaf Pike Place® Roast,Short,No Milk,No Whip,236,3,0.1,0,0,0,5,0,0,0,0.3,0,0,0,0,15
Brewed Coffee - Decaf Pike Place® Roast,Tall,No Milk,No Whip,354,4,0.1,0,0,0,10,0,0,0,0.5,0,0,0,0,20
Brewed Coffee - Decaf Pike Place® Roast,Grande,No Milk,No Whip,473,5,0.1,0,0,0,10,0,0,0,1,0,0,0,0,25
Brewed Coffee - Decaf Pike Place® Roast,Venti®,No Milk,No Whip,591,5,0.1,0,0,0,10,0,0,0,1,0,0,0,0,30
Brewed Coffee Traveler - Decaf Pike Place® Roast,1 - 236 mL serving,No Milk,No Whip,236,3,0.1,0,0,0,5,0,0,0,0.3,0,0,0,0,15
Brewed Coffee - Medium Roast,Short,No Milk,No Whip,236,3,0.1,0,0,0,5,0,0,0,0.3,0,0,0,0,155
,,,,,,,,,,,,,,,,,,,
Brewed Coffee - Medium Roast,Tall,No Milk,No Whip,354,4,0.1,0,0,0,10,0,0,0,0.5,0,0,0,0,235
Brewed Coffee - Medium Roast,Grande,No Milk,No Whip,473,5,0.1,0,0,0,10,0,0,0,1,0,0,0,0,310
Brewed Coffee - Medium Roast,Venti®,No Milk,No Whip,591,5,0.1,0,0,0,10,0,0,0,1,0,0,2,0,410
Brewed Coffee Traveler - Medium Roast,1 - 236 mL serving,No Milk,No Whip,236,3,0.1,,0,0,5,0,0,0,0.3,0,0,0,0,155
Brewed Coffee - True North Blend Blonde Roast,Short,No Milk,No Whip,236,3,0.1,0,0,0,5,0,0,0,0.3,0,0,0,0,180
Brewed Coffee - True North Blend Blonde Roast,Tall,No Milk,No Whip,354,4,0.1,0,0,0,10,0,0,0,0.5,0,0,0,0,270
Brewed Coffee - True North Blend Blonde Roast,Grande,No Milk,No Whip,473,5,0.1,0,0,0,10,0,0,0,1,0,0,0,0,360
Brewed Coffee - True North Blend Blonde Roast,Venti®,No Milk,No Whip,591,5,0.1,0,0,0,10,0,0,0,1,0,0,2,0,475
Caffè Misto,Short,Nonfat,No Whip,236,35,0.1,0.1,0,0,45,5,0,5,4,6,0,10,0,75
Caffè Misto,Short,2%,No Whip,236,50,2,1,0.1,10,50,5,0,5,4,6,0,10,0,75
Caffè Misto,Short,Whole,No Whip,236,70,3.5,2,0.1,10,50,5,0,5,3,4,0,10,0,75
Caffè Misto,Short,Soy,No Whip,236,40,1.5,0.2,0,0,40,3,0,2,3,4,0,10,6,75
Caffè Misto,Tall,Nonfat,No Whip,354,60,0.2,0.1,0,5,70,8,0,8,6,10,0,20,0,115
Caffè Misto,Tall,2%,No Whip,354,80,3,1.5,0.1,15,80,8,0,8,5,8,0,20,0,115
Caffè Misto,Tall,Whole,No Whip,354,100,5,3,0.2,15,70,8,0,8,5,8,0,15,0,115
